date,temp,hum,name
2018.12.16,13.3,21,KTUS
2018.12.16,9,100,LRTZ
2018.12.16,17,48,OERK
2018.12.16,-6,85,EETU
2018.12.16,14,93,KTTS
2018.12.16,11,34,MMLO
2018.12.16,18,34,KBBF
2018.12.16,-2,36,KCCU
2018.12.16,7.2,92,KPBF
2018.12.16,28,,FTTC
2018.12.16,2.8,78,KTKI
2018.12.16,-17,91,KPNA
2018.12.16,15,100,KIMM
2018.12.16,-8.6,93,CWIS
2018.12.16,-1,86,UKON
2018.12.16,27,83,FSIA
2018.12.16,6.1,100,KESF
2018.12.16,10.0,96,KNYG
2018.12.16,-1.7,88,KBEH
2018.12.16,-0.4,87,KHAI
2018.12.16,-3,58,K5SM
2018.12.16,0,63,CWSW
2018.12.16,2.8,88,KLWV
2018.12.16,21,82,GVAC
2018.12.16,-1,86,LIRZ
2018.12.16,1.8,64,KPSM
2018.12.16,9,75,EHDV
2018.12.16,5,100,LFAT
2018.12.16,-4.2,98,CWJT
